,importance,stdev,n,p99_low,p99_high
PRECO,0.0001692239203291701,0.0,5.0,0.0001692239203291701,0.0001692239203291701
FLAG_PROMOCAO,-0.0006253107947787329,0.0,5.0,-0.0006253107947787329,-0.0006253107947787329
