ID_PRODUTO,folds,MAE_mean,WAPE_mean,MACRO_MASE_mean,WQL_mean,P10_P90_COVERAGE_mean,MEAN_INTERVAL_WIDTH_mean,BIAS_mean,best_fold_by_MAE,worst_fold_by_MAE
1000,3,25.778549841243688,0.4927595647163409,1.597695048059012,0.28640201435002505,0.7142857142857143,72.13898807941533,0.0706529378168419,3,1
1001,3,25.223427978602718,0.43121661540254413,1.3716078039138815,0.24785864010709144,0.7619047619047619,70.64746123214624,0.3160408953236207,3,2
1002,3,29.619403344008983,1.002444423382082,2.03443107289761,0.6506938825325991,0.5714285714285715,71.73121240901884,16.955908898068035,1,3
1003,3,26.319257777217473,0.6456992560554893,1.7792391968988106,0.3878818615851634,0.7142857142857143,75.64911634216475,9.436159901232193,2,1
1004,3,30.99932892051616,0.4981600069355369,1.8851005202122744,0.2960082725650169,0.42857142857142855,68.36727701610933,-12.064399804586495,1,3
1005,3,20.80316095512424,0.3842542832087858,1.1780808328286718,0.21911697111298378,0.9047619047619048,70.19297365200303,8.587663658720723,3,2
1006,3,33.21973621308824,0.9832385856698395,2.6025758687550113,0.6248618270167899,0.38095238095238093,60.63575345677909,14.854463027212148,3,1
1007,3,27.812748518475825,0.6053924672536329,1.9166985536830417,0.3749657485070305,0.7142857142857143,70.3811914441377,15.893713326413277,2,1
1008,3,32.384860711264686,0.9017126677027107,2.6393659129123384,0.4918699526287987,0.6190476190476191,65.09184263827825,12.493053093767893,3,1
1009,3,28.86460217285404,0.8099849041098502,1.8617976898009152,0.46200614280203117,0.6190476190476191,69.4818905157706,5.16881998190746,3,2
1010,3,28.61721897690664,0.5453813352413053,1.9736232663956965,0.3570505814158412,0.5238095238095238,66.02236548556924,5.885194984281227,2,3
1011,3,16.018575257664953,0.29538894580506936,0.8913920335783283,0.18510358637920402,0.9523809523809524,72.05176258294442,0.9009378896114507,3,2
1012,3,27.31346265914539,0.806810104950149,1.9711635276512716,0.5193450349918056,0.6190476190476191,64.09453598893778,9.815663059386239,2,1
1013,3,19.77473584541334,0.3404645995643473,1.220930566557275,0.2013977102852983,0.8095238095238094,66.77425675538844,-9.585115085682588,3,2
1014,3,28.703073497098938,0.6752700775349147,2.076655174297536,0.38269498058276247,0.5714285714285714,68.24618705422127,6.290958004594642,3,1
1015,3,29.13999482769195,0.687007432022997,2.0055564028543476,0.402065268505763,0.5714285714285715,67.20994064975436,8.616838230896546,1,2
1016,3,23.941875919798548,0.45844390452191713,1.769186134070144,0.2787678282889605,0.8095238095238094,69.20962388172181,8.176735337798702,2,1
1017,3,28.65243334242919,0.5922137462553256,1.7780052230829824,0.34453043186344123,0.6190476190476191,64.6586521686368,-1.1602951271863786,3,1
1018,3,26.173114002230008,0.4898348274995068,1.8583694521882093,0.3145773355644281,0.6666666666666666,65.01475943756687,4.395625968286913,2,1
1019,3,24.417250986525815,0.4984715239971922,1.6417318565694554,0.32861810103730693,0.6190476190476191,63.91914622755392,8.918782225789327,2,1
1020,3,25.806135904317987,0.46637987801004616,1.7185423210425723,0.2857828285640868,0.7619047619047619,75.71950924292251,6.764864910846257,2,1
1021,3,25.243123148152176,0.49903740590657614,1.8886807624585689,0.28053067498154305,0.7142857142857143,71.951862381639,9.618646792971761,2,1
1022,3,20.932109167222755,0.41004291105324997,1.2886585708039526,0.25047093992478126,0.8095238095238094,70.1663990688885,1.4593056780400335,3,1
1023,3,26.70835431904138,0.5337277851529593,1.7592608617736432,0.31590998365204465,0.6190476190476191,71.64669444517155,2.9923730404444853,2,1
1024,3,21.158578548837017,0.3708924733347827,1.189675172144947,0.21815418307635778,0.7142857142857143,62.07376266092902,-7.901773814504801,1,3
